OSD, Sample,growth time (Days),Ground Control,genotype realtive to WT Col-0
OSD-37, Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4,8,Ground Control,Wild Type
OSD-37, Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3,8,Space Flight,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2,8,Space Flight,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5,8,Space Flight,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3,8,Space Flight,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2,8,Space Flight,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5,8,Space Flight,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3,8,Ground Control,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2,8,Ground Control,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5,8,Ground Control,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3,8,Ground Control,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2,8,Ground Control,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5,8,Ground Control,Cvi-0
OSD-37, Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2,8,Space Flight,Ler-0
OSD-37, Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5,8,Space Flight,Ler-0
OSD-37, Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3,8,Space Flight,Ler-0
OSD-37, Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2,8,Space Flight,Ler-0
OSD-37, Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5,8,Space Flight,Ler-0
OSD-37, Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3,8,Space Flight,Ler-0
OSD-37, Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2,8,Ground Control,Ler-0
OSD-37, Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5,8,Ground Control,Ler-0
OSD-37, Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3,8,Ground Control,Ler-0
OSD-37, Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2,8,Ground Control,Ler-0
OSD-37, Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5,8,Ground Control,Ler-0
OSD-37, Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3,8,Ground Control,Ler-0
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4,8,Ground Control,Ws-2
OSD-38, Atha_WT-Col-0_sl_FLT_Rep1_G1S1,3,Space Flight,Wild Type
OSD-38, Atha_WT-Col-0_sl_FLT_Rep2_G1S2,3,Space Flight,Wild Type
OSD-38, Atha_WT-Col-0_sl_FLT_Rep3_G1S3,3,Space Flight,Wild Type
OSD-38, Atha_WT-Col-0_sl_GC_Rep1_G2S1,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_GC_Rep2_G2S2,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_GC_Rep3_G2S3,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_LN2_Rep1_n2-1,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_LN2_Rep2_n2-2,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_LN2_Rep3_n2-3,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_RNAlat_Rep1_rl1,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_RNAlat_Rep2_rl2,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_RNAlat_Rep3_rl3,3,Ground Control,Wild Type
OSD-120, Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day13,13,Space Flight,Wild Type
OSD-120, Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778_Day13,13,Space Flight,Wild Type
OSD-120, Atha_Col-0_root_FLT_Alight_Rep3_GSM2493779_Day13,13,Space Flight,Wild Type
OSD-120, Atha_Col-0_root_FLT_dark_Rep1_GSM2493786_Day13,13,Space Flight,Wild Type
OSD-120, Atha_Col-0_root_FLT_dark_Rep2_GSM2493787_Day13,13,Space Flight,Wild Type
OSD-120, Atha_Col-0_root_FLT_dark_Rep3_GSM2493788_Day13,13,Space Flight,Wild Type
OSD-120, Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day13,13,Ground Control,Wild Type
OSD-120, Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13,13,Ground Control,Wild Type
OSD-120, Atha_Col-0_root_GC_Alight_Rep3_GSM2493761_Day13,13,Ground Control,Wild Type
OSD-120, Atha_Col-0_root_GC_dark_Rep1_GSM2493768_Day13,13,Ground Control,Wild Type
OSD-120, Atha_Col-0_root_GC_dark_Rep2_GSM2493769_Day13,13,Ground Control,Wild Type
OSD-120, Atha_Col-0_root_GC_dark_Rep3_GSM2493770_Day13,13,Ground Control,Wild Type
OSD-120, Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day13,13,Space Flight,Col-0-PhyD
OSD-120, Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day13,13,Space Flight,Col-0-PhyD
OSD-120, Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785_Day13,13,Space Flight,Col-0-PhyD
OSD-120, Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792_Day13,13,Space Flight,Col-0-PhyD
OSD-120, Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793_Day13,13,Space Flight,Col-0-PhyD
OSD-120, Atha_Col-0-PhyD_root_FLT_dark_Rep3_GSM2493794_Day13,13,Space Flight,Col-0-PhyD
OSD-120, Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765_Day13,13,Ground Control,Col-0-PhyD
OSD-120, Atha_Col-0-PhyD_root_GC_Alight_Rep2_GSM2493766_Day13,13,Ground Control,Col-0-PhyD
OSD-120, Atha_Col-0-PhyD_root_GC_Alight_Rep3_GSM2493767_Day13,13,Ground Control,Col-0-PhyD
OSD-120, Atha_Col-0-PhyD_root_GC_dark_Rep1_GSM2493774_Day13,13,Ground Control,Col-0-PhyD
OSD-120, Atha_Col-0-PhyD_root_GC_dark_Rep2_GSM2493775_Day13,13,Ground Control,Col-0-PhyD
OSD-120, Atha_Col-0-PhyD_root_GC_dark_Rep3_GSM2493776_Day13,13,Ground Control,Col-0-PhyD
OSD-120, Atha_Ws_root_FLT_Alight_Rep1_GSM2493780_Day13,13,Space Flight,Ws
OSD-120, Atha_Ws_root_FLT_Alight_Rep2_GSM2493781_Day13,13,Space Flight,Ws
OSD-120, Atha_Ws_root_FLT_Alight_Rep3_GSM2493782_Day13,13,Space Flight,Ws
OSD-120, Atha_Ws_root_FLT_dark_Rep1_GSM2493789_Day13,13,Space Flight,Ws
OSD-120, Atha_Ws_root_FLT_dark_Rep2_GSM2493790_Day13,13,Space Flight,Ws
OSD-120, Atha_Ws_root_FLT_dark_Rep3_GSM2493791_Day13,13,Space Flight,Ws
OSD-120, Atha_Ws_root_GC_Alight_Rep1_GSM2493762_Day13,13,Ground Control,Ws
OSD-120, Atha_Ws_root_GC_Alight_Rep2_GSM2493763_Day13,13,Ground Control,Ws
OSD-120, Atha_Ws_root_GC_Alight_Rep3_GSM2493764_Day13,13,Ground Control,Ws
OSD-120, Atha_Ws_root_GC_dark_Rep1_GSM2493771_Day13,13,Ground Control,Ws
OSD-120, Atha_Ws_root_GC_dark_Rep2_GSM2493772_Day13,13,Ground Control,Ws
OSD-120, Atha_Ws_root_GC_dark_Rep3_GSM2493773_Day13,13,Ground Control,Ws
OSD-193, GSM2516735,4,Ground Control,Col-0
OSD-193, GSM2516736,4,Ground Control,Col-0
OSD-193, GSM2516737,4,Ground Control,Col-0
OSD-193, GSM2516738,4,Ground Control,Col-0
OSD-193, GSM2516739,4,Space Flight,Col-0
OSD-193, GSM2516740,4,Space Flight,Col-0
OSD-193, GSM2516741,4,Space Flight,Col-0
OSD-193, GSM2516742,4,Space Flight,Col-0
OSD-193, GSM2516743,4,Ground Control,Col-0 Sku6
OSD-193, GSM2516744,4,Ground Control,Col-0 Sku6
OSD-193, GSM2516745,4,Ground Control,Col-0 Sku6
OSD-193, GSM2516746,4,Ground Control,Col-0 Sku6
OSD-193, GSM2516747,4,Space Flight,Col-0 Sku6
OSD-193, GSM2516748,4,Space Flight,Col-0 Sku6
OSD-193, GSM2516749,4,Space Flight,Col-0 Sku6
OSD-193, GSM2516750,4,Space Flight,Col-0 Sku6
OSD-193, GSM2516751,8,Ground Control,Col-0
OSD-193, GSM2516752,8,Ground Control,Col-0
OSD-193, GSM2516753,8,Ground Control,Col-0
OSD-193, GSM2516754,8,Ground Control,Col-0
OSD-193, GSM2516755,8,Space Flight,Col-0
OSD-193, GSM2516756,8,Space Flight,Col-0
OSD-193, GSM2516757,8,Space Flight,Col-0
OSD-193, GSM2516758,8,Space Flight,Col-0
OSD-193, GSM2516759,8,Ground Control,Col-0 Sku6
OSD-193, GSM2516760,8,Ground Control,Col-0 Sku6
OSD-193, GSM2516761,8,Ground Control,Col-0 Sku6
OSD-193, GSM2516762,8,Ground Control,Col-0 Sku6
OSD-193, GSM2516763,8,Space Flight,Col-0 Sku6
OSD-193, GSM2516764,8,Space Flight,Col-0 Sku6
OSD-193, GSM2516765,8,Space Flight,Col-0 Sku6
OSD-193, GSM2516766,8,Space Flight,Col-0 Sku6
OSD-217, Atha_Ws_leaf_FLT_Rep1,11,Space Flight,Ws
OSD-217, Atha_Ws_leaf_FLT_Rep2,11,Space Flight,Ws
OSD-217, Atha_Ws_leaf_FLT_Rep3,11,Space Flight,Ws
OSD-217, Atha_Ws_leaf_GC_Rep1,11,Ground Control,Ws
OSD-217, Atha_Ws_leaf_GC_Rep2,11,Ground Control,Ws
OSD-217, Atha_Ws_leaf_GC_Rep3,11,Ground Control,Ws
OSD-217, Atha_Ws_root_FLT_Rep1,11,Space Flight,Ws
OSD-217, Atha_Ws_root_FLT_Rep2,11,Space Flight,Ws
OSD-217, Atha_Ws_root_FLT_Rep3,11,Space Flight,Ws
OSD-217, Atha_Ws_root_GC_Rep1,11,Ground Control,Ws
OSD-217, Atha_Ws_root_GC_Rep2,11,Ground Control,Ws
OSD-217, Atha_Ws_root_GC_Rep3,11,Ground Control,Ws
OSD-218, SAMN06465142,8,Space Flight,Wild Type
OSD-218, SAMN06465144,8,Space Flight,Wild Type
OSD-218, SAMN06465146,8,Space Flight,Wild Type
OSD-218, SAMN06465148,8,Space Flight,Wild Type
OSD-218, SAMN06465150,8,Ground Control,Wild Type
OSD-218, SAMN06465152,8,Ground Control,Wild Type
OSD-218, SAMN06465155,8,Ground Control,Wild Type
OSD-218, SAMN06465157,8,Ground Control,Wild Type
OSD-218, SAMN06465160,4,Space Flight,Wild Type
OSD-218, SAMN06465163,4,Space Flight,Wild Type
OSD-218, SAMN06465165,4,Space Flight,Wild Type
OSD-218, SAMN06465168,4,Space Flight,Wild Type
OSD-218, SAMN06465170,4,Ground Control,Wild Type
OSD-218, SAMN06465172,4,Ground Control,Wild Type
OSD-218, SAMN06465174,4,Ground Control,Wild Type
OSD-218, SAMN06465177,4,Ground Control,Wild Type
OSD-218, SAMN06465179,4,Ground Control,Wild Type
OSD-218, SAMN06465181,4,Space Flight,Wild Type
OSD-218, SAMN06465183,4,Space Flight,Wild Type
OSD-218, SAMN06465187,4,Space Flight,Wild Type
OSD-218, SAMN06465190,4,Space Flight,Wild Type
OSD-218, SAMN06465194,4,Ground Control,Wild Type
OSD-218, SAMN06465197,4,Ground Control,Wild Type
OSD-218, SAMN06465201,4,Ground Control,Wild Type
OSD-218, SAMN06465267,8,Space Flight,Wild Type
OSD-218, SAMN06465268,8,Space Flight,Wild Type
OSD-218, SAMN06465269,8,Space Flight,Wild Type
OSD-218, SAMN06465270,8,Space Flight,Wild Type
OSD-218, SAMN06465272,8,Ground Control,Wild Type
OSD-218, SAMN06465273,8,Ground Control,Wild Type
OSD-218, SAMN06465275,8,Ground Control,Wild Type
OSD-218, SAMN06465276,8,Ground Control,Wild Type
OSD-281, SAMN06468812,8,Space Flight,WS
OSD-281, SAMN06468813,8,Space Flight,WS
OSD-281, SAMN06468814,8,Space Flight,WS
OSD-281, SAMN06468815,8,Space Flight,WS
OSD-281, SAMN06468816,8,Ground Control,WS
OSD-281, SAMN06468817,8,Ground Control,WS
OSD-281, SAMN06468818,8,Ground Control,WS
OSD-281, SAMN06468819,8,Space Flight,Sku5
OSD-281, SAMN06468820,8,Space Flight,Sku5
OSD-281, SAMN06468821,8,Ground Control,WS
OSD-281, SAMN06468822,8,Space Flight,Sku5
OSD-281, SAMN06468823,8,Ground Control,Sku5
OSD-281, SAMN06468824,8,Space Flight,Sku5
OSD-281, SAMN06468825,8,Ground Control,Sku5
OSD-281, SAMN06468826,8,Ground Control,Sku5
OSD-281, SAMN06468827,8,Ground Control,Sku5
OSD-281, SAMN06468828,4,Ground Control,WS
OSD-281, SAMN06468829,4,Space Flight,WS
OSD-281, SAMN06468830,4,Space Flight,WS
OSD-281, SAMN06468831,4,Space Flight,Sku5
OSD-281, SAMN06468832,4,Space Flight,WS
OSD-281, SAMN06468833,4,Space Flight,WS
OSD-281, SAMN06468834,4,Space Flight,Sku5
OSD-281, SAMN06468835,4,Ground Control,WS
OSD-281, SAMN06468836,4,Ground Control,WS
OSD-281, SAMN06468837,4,Space Flight,Sku5
OSD-281, SAMN06468838,4,Ground Control,WS
OSD-281, SAMN06468839,4,Space Flight,Sku5
OSD-281, SAMN06468840,4,Ground Control,Sku5
OSD-281, SAMN06468841,4,Ground Control,Sku5
OSD-281, SAMN06468842,4,Ground Control,Sku5
OSD-281, SAMN06468844,4,Ground Control,Sku5
OSD-427, GSM3331071,11,Space Flight,Wild Type
OSD-427, GSM3331072,11,Space Flight,Wild Type
OSD-427, GSM3331073,11,Space Flight,Wild Type
OSD-427, GSM3331074,11,Space Flight,Wild Type
OSD-427, GSM3331075,11,Space Flight,Wild Type
OSD-427, GSM3331076,11,Space Flight,Wild Type
OSD-427, GSM3331077,11,Space Flight,Wild Type
OSD-427, GSM3331078,11,Space Flight,Wild Type
OSD-427, GSM3331079,11,Ground Control,Wild Type
OSD-427, GSM3331080,11,Ground Control,Wild Type
OSD-427, GSM3331081,11,Ground Control,Wild Type
OSD-427, GSM3331082,11,Ground Control,Wild Type
OSD-427, GSM3331083,11,Ground Control,Wild Type
OSD-427, GSM3331084,11,Ground Control,Wild Type
OSD-427, GSM3331085,11,Ground Control,Wild Type
OSD-427, GSM3331086,11,Ground Control,Wild Type
OSD-427, GSM3331087,11,Space Flight,elp2-5
OSD-427, GSM3331088,11,Space Flight,elp2-5
OSD-427, GSM3331089,11,Space Flight,elp2-5
OSD-427, GSM3331090,11,Space Flight,elp2-5
OSD-427, GSM3331091,11,Space Flight,elp2-5
OSD-427, GSM3331092,11,Space Flight,elp2-5
OSD-427, GSM3331093,11,Space Flight,elp2-5
OSD-427, GSM3331094,11,Space Flight,elp2-5
OSD-427, GSM3331095,11,Ground Control,elp2-5
OSD-427, GSM3331096,11,Ground Control,elp2-5
OSD-427, GSM3331097,11,Ground Control,elp2-5
OSD-427, GSM3331098,11,Ground Control,elp2-5
OSD-427, GSM3331099,11,Ground Control,elp2-5
OSD-427, GSM3331100,11,Ground Control,elp2-5
OSD-427, GSM3331101,11,Ground Control,elp2-5
OSD-427, GSM3331102,11,Ground Control,elp2-5
OSD-427, GSM3331103,11,Space Flight,met1-7
OSD-427, GSM3331104,11,Space Flight,met1-7
OSD-427, GSM3331105,11,Space Flight,met1-7
OSD-427, GSM3331106,11,Space Flight,met1-7
OSD-427, GSM3331107,11,Space Flight,met1-7
OSD-427, GSM3331108,11,Space Flight,met1-7
OSD-427, GSM3331109,11,Space Flight,met1-7
OSD-427, GSM3331110,11,Space Flight,met1-7
OSD-427, GSM3331111,11,Ground Control,met1-7
OSD-427, GSM3331112,11,Ground Control,met1-7
OSD-427, GSM3331113,11,Ground Control,met1-7
OSD-427, GSM3331114,11,Ground Control,met1-7
OSD-427, GSM3331115,11,Ground Control,met1-7
OSD-427, GSM3331116,11,Ground Control,met1-7
OSD-427, GSM3331117,11,Ground Control,met1-7
OSD-427, GSM3331118,11,Ground Control,met1-7